
> qualitypro@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.112:3000
✓ Ready in 438ms

○ Compiling / ...
 GET / 200 in 132ms (next.js: 1807µs, application-code: 130ms)
 GET / 200 in 132ms (next.js: 1869µs, application-code: 130ms)
 GET / 200 in 123ms (next.js: 1630µs, application-code: 122ms)
 GET / 200 in 124ms (next.js: 1661µs, application-code: 122ms)
 GET / 200 in 131ms (next.js: 1846µs, application-code: 129ms)
 GET / 200 in 129ms (next.js: 1694µs, application-code: 127ms)
 GET / 200 in 126ms (next.js: 1931µs, application-code: 125ms)
 GET / 200 in 129ms (next.js: 1680µs, application-code: 128ms)
 GET / 200 in 131ms (next.js: 1627µs, application-code: 130ms)
 GET / 200 in 133ms (next.js: 1648µs, application-code: 132ms)
 GET / 200 in 125ms (next.js: 1730µs, application-code: 124ms)
 GET / 200 in 133ms (next.js: 1626µs, application-code: 131ms)
 GET / 200 in 124ms (next.js: 1661µs, application-code: 122ms)
 GET / 200 in 125ms (next.js: 1591µs, application-code: 124ms)
 GET / 200 in 133ms (next.js: 1671µs, application-code: 131ms)
 GET / 200 in 126ms (next.js: 1578µs, application-code: 125ms)
 GET / 200 in 125ms (next.js: 1584µs, application-code: 123ms)
 GET / 200 in 128ms (next.js: 1614µs, application-code: 127ms)
 GET / 200 in 134ms (next.js: 1860µs, application-code: 132ms)
 GET / 200 in 118ms (next.js: 1573µs, application-code: 117ms)
 GET / 200 in 120ms (next.js: 1700µs, application-code: 118ms)
 GET / 200 in 121ms (next.js: 1571µs, application-code: 120ms)
 GET / 200 in 133ms (next.js: 1676µs, application-code: 131ms)
 GET / 200 in 124ms (next.js: 1776µs, application-code: 122ms)
 GET / 200 in 128ms (next.js: 1732µs, application-code: 127ms)
 GET / 200 in 125ms (next.js: 1612µs, application-code: 123ms)
 GET / 200 in 124ms (next.js: 1626µs, application-code: 123ms)
 GET / 200 in 152ms (next.js: 2ms, application-code: 150ms)
 GET / 200 in 128ms (next.js: 1714µs, application-code: 126ms)
 GET / 200 in 124ms (next.js: 1534µs, application-code: 123ms)
 GET / 200 in 122ms (next.js: 1474µs, application-code: 120ms)
 GET / 200 in 133ms (next.js: 1707µs, application-code: 131ms)
 GET / 200 in 125ms (next.js: 1522µs, application-code: 124ms)
 GET / 200 in 130ms (next.js: 1591µs, application-code: 128ms)
 GET / 200 in 143ms (next.js: 3ms, application-code: 140ms)
 GET / 200 in 127ms (next.js: 1910µs, application-code: 125ms)
 GET / 200 in 135ms (next.js: 1923µs, application-code: 133ms)
 GET / 200 in 127ms (next.js: 1828µs, application-code: 125ms)
 GET / 200 in 130ms (next.js: 1532µs, application-code: 128ms)
 GET / 200 in 130ms (next.js: 1583µs, application-code: 129ms)
 GET / 200 in 143ms (next.js: 1589µs, application-code: 142ms)
 GET / 200 in 132ms (next.js: 2ms, application-code: 130ms)
 GET / 200 in 131ms (next.js: 1528µs, application-code: 129ms)
 GET / 200 in 138ms (next.js: 1965µs, application-code: 136ms)
 GET / 200 in 127ms (next.js: 2ms, application-code: 124ms)
 GET / 200 in 137ms (next.js: 1722µs, application-code: 135ms)
 GET / 200 in 130ms (next.js: 1574µs, application-code: 128ms)
 GET / 200 in 127ms (next.js: 1566µs, application-code: 125ms)
 GET / 200 in 124ms (next.js: 1685µs, application-code: 123ms)
